Metric,Baseline_BCS,Proposed_GBCS,Difference
ClassificationAccuracy,97.1342,97.0840,-0.0503
Precision,97.1835,97.1236,-0.0599
Recall,97.1473,97.0783,-0.0691
F1Score,97.1351,97.0695,-0.0656
SelectedFeatures,1042,1353,311
ReductionRatioPercent,49.12,33.94,-15.19
AverageCorrelation,0.1249,0.1247,-0.0002
OptimalConvergenceIteration,1,20,19
