Metric,Baseline_BCS,Proposed_GBCS,Difference
ClassificationAccuracy,98.6667,98.8889,+0.2222
Precision,98.6141,98.7924,+0.1783
Recall,98.5952,98.8961,+0.3009
F1Score,98.5834,98.8145,+0.2311
SelectedFeatures,1038,1369,331
ReductionRatioPercent,49.32,33.15,-16.16
AverageCorrelation,0.1606,0.1617,+0.0011
OptimalConvergenceIteration,1,15,14
